2,13,5,9,3,12,10,1,6,4,7,14,15,11,16,8
12,3,4,10,2,13,14,7,16,11,8,15,9,6,1,5
11,16,7,14,9,8,15,6,1,5,2,13,12,3,10,4
1,6,15,8,16,11,5,4,9,12,3,10,2,13,14,7
9,12,6,5,11,3,1,10,8,16,13,7,14,4,15,2
3,11,10,13,12,9,2,5,15,6,14,4,16,8,7,1
16,15,2,7,8,6,4,14,12,9,11,1,5,10,13,3
8,1,14,4,15,16,7,13,3,10,5,2,6,9,12,11
15,9,12,16,6,2,3,11,10,13,1,8,4,7,5,14
6,14,3,11,1,7,9,16,5,2,4,12,10,15,8,13
10,7,8,1,5,4,13,15,11,14,9,16,3,12,2,6
5,4,13,2,10,14,12,8,7,3,15,6,11,1,9,16
13,8,9,12,14,15,16,3,2,1,6,11,7,5,4,10
14,10,16,3,13,1,11,9,4,7,12,5,8,2,6,15
7,5,11,15,4,10,6,2,13,8,16,9,1,14,3,12
4,2,1,6,7,5,8,12,14,15,10,3,13,16,11,9
